2011-02-18 17:00:38.359; Race Status: Initialized; 
2011-02-18 17:05:47.609; Lap added; Uwe; Laps: 10; Penalties: 0; Fuel: 27,65; Speed Sum: 808; LapTime: 00:09.98; 
2011-02-18 17:05:55.796; Finished; Mannie; Laps: 10; Penalties: 0; Fuel: 46,69; Speed Sum: 720; LapTime: 00:11.31; 
2011-02-18 17:05:56.250; Lap added; Mannie; Laps: 10; Penalties: 0; Fuel: 46,69; Speed Sum: 720; LapTime: 00:11.31; 
2011-02-18 17:05:56.921; Race Status: Finished; 
2011-02-18 17:06:32.921; Race Status: Finished; 
2011-02-18 17:06:32.968; Race Status: WaitingForStartByParallelPort; 
2011-02-18 17:06:35.921; Race Status: StartCountDown; 
2011-02-18 17:06:36.109; Lap added; Tobi; Laps: 0; Penalties: 0; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:06:36.109; Lap added; Mannie; Laps: 0; Penalties: 0; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:06:36.312; Falsestart detected; Mannie; Laps: 0; Penalties: 1 (3 laps left) ; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:06:36.312; Falsestart detected; Uwe; Laps: -1; Penalties: 1 (3 laps left) ; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:06:36.343; Lap added by autodetection; Uwe; Laps: 0; Penalties: 1 (2 laps left) ; Fuel: 100; Speed Sum: 8; LapTime: ; 
2011-02-18 17:06:36.359; Lap added by autodetection; Heinz; Laps: 0; Penalties: 0; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:06:36.359; Falsestart detected; Tobi; Laps: 0; Penalties: 1 (3 laps left) ; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:06:36.765; Lap detected but not added due minimum lap time; Uwe; Laps: 0; Penalties: 1 (2 laps left) ; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:06:36.765; Falsestart detected; Uwe; Laps: 0; Penalties: 2 (2 laps left) ; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:06:37.453; Race Status: StartCountDown; 
