TimeStamp: 2018-11-21 21:14:49.946; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 21:19:00.285; Lap added; EventId: 5; Driver: Mannie; Laps: 17; Penalties: 0; LapTime: 12:00:05.966; Position: 1; 
TimeStamp: 2018-11-21 21:19:03.005; Lap added; EventId: 5; Driver: Bernd; Laps: 11; Penalties: 0; LapTime: 12:00:04.422; Position: 3; 
TimeStamp: 2018-11-21 21:19:05.650; Lap added; EventId: 5; Driver: Steg; Laps: 15; Penalties: 0; LapTime: 12:00:05.915; Position: 2; 
TimeStamp: 2018-11-21 21:19:06.143; Lap added; EventId: 5; Driver: Mannie; Laps: 18; Penalties: 0; LapTime: 12:00:05.878; Position: 1; 
TimeStamp: 2018-11-21 21:19:07.013; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 18; Penalties: 0; LapTime: 12:00:05.878; Position: 1; 
TimeStamp: 2018-11-21 21:19:07.019; Lap added; EventId: 5; Driver: Bernd; Laps: 12; Penalties: 0; LapTime: 12:00:04.014; Position: 3; 
TimeStamp: 2018-11-21 21:19:11.639; Lap added; EventId: 5; Driver: Steg; Laps: 16; Penalties: 0; LapTime: 12:00:05.989; Position: 2; 
TimeStamp: 2018-11-21 21:19:12.159; Lap added; EventId: 5; Driver: Mannie; Laps: 19; Penalties: 0; LapTime: 12:00:06.015; Position: 1; 
TimeStamp: 2018-11-21 21:19:12.983; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 19; Penalties: 0; LapTime: 12:00:06.015; Position: 1; 
TimeStamp: 2018-11-21 21:19:13.163; Lap added; EventId: 5; Driver: Bernd; Laps: 13; Penalties: 0; LapTime: 12:00:06.143; Position: 3; 
TimeStamp: 2018-11-21 21:19:17.558; Lap added; EventId: 5; Driver: Steg; Laps: 17; Penalties: 0; LapTime: 12:00:05.918; Position: 2; 
TimeStamp: 2018-11-21 21:19:17.718; Lap added; EventId: 5; Driver: Bernd; Laps: 14; Penalties: 0; LapTime: 12:00:04.555; Position: 3; 
TimeStamp: 2018-11-21 21:19:17.978; Lap added; EventId: 5; Driver: Mannie; Laps: 20; Penalties: 0; LapTime: 12:00:05.819; Position: 1; 
TimeStamp: 2018-11-21 21:19:21.957; Lap added; EventId: 5; Driver: Bernd; Laps: 15; Penalties: 0; LapTime: 12:00:04.238; Position: 3; 
TimeStamp: 2018-11-21 21:19:23.547; Lap added; EventId: 5; Driver: Steg; Laps: 18; Penalties: 0; LapTime: 12:00:05.989; Position: 2; 
TimeStamp: 2018-11-21 21:19:23.968; Lap added; EventId: 5; Driver: Mannie; Laps: 21; Penalties: 0; LapTime: 12:00:05.990; Position: 1; 
TimeStamp: 2018-11-21 21:19:24.747; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 21; Penalties: 0; LapTime: 12:00:05.990; Position: 1; 
TimeStamp: 2018-11-21 21:19:26.617; Lap added; EventId: 5; Driver: Bernd; Laps: 16; Penalties: 0; LapTime: 12:00:04.659; Position: 3; 
TimeStamp: 2018-11-21 21:19:29.523; Lap added; EventId: 5; Driver: Steg; Laps: 19; Penalties: 0; LapTime: 12:00:05.975; Position: 2; 
TimeStamp: 2018-11-21 21:19:29.992; Lap added; EventId: 5; Driver: Mannie; Laps: 22; Penalties: 0; LapTime: 12:00:06.023; Position: 1; 
TimeStamp: 2018-11-21 21:19:31.493; Lap added; EventId: 5; Driver: Bernd; Laps: 17; Penalties: 0; LapTime: 12:00:04.876; Position: 3; 
TimeStamp: 2018-11-21 21:19:35.526; Lap added; EventId: 5; Driver: Steg; Laps: 20; Penalties: 0; LapTime: 12:00:06.002; Position: 2; 
TimeStamp: 2018-11-21 21:19:35.896; Lap added; EventId: 5; Driver: Mannie; Laps: 23; Penalties: 0; LapTime: 12:00:05.903; Position: 1; 
TimeStamp: 2018-11-21 21:19:36.809; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 23; Penalties: 0; LapTime: 12:00:05.903; Position: 1; 
TimeStamp: 2018-11-21 21:19:39.017; Lap added; EventId: 5; Driver: Bernd; Laps: 18; Penalties: 0; LapTime: 12:00:07.523; Position: 3; 
TimeStamp: 2018-11-21 21:19:41.551; Lap added; EventId: 5; Driver: Steg; Laps: 21; Penalties: 0; LapTime: 12:00:06.025; Position: 2; 
TimeStamp: 2018-11-21 21:19:41.966; Lap added; EventId: 5; Driver: Mannie; Laps: 24; Penalties: 0; LapTime: 12:00:06.070; Position: 1; 
TimeStamp: 2018-11-21 21:19:42.811; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 24; Penalties: 0; LapTime: 12:00:06.070; Position: 1; 
TimeStamp: 2018-11-21 21:19:42.831; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 24; Penalties: 0; LapTime: 12:00:06.070; Position: 1; 
TimeStamp: 2018-11-21 21:19:43.307; Lap added; EventId: 5; Driver: Bernd; Laps: 19; Penalties: 0; LapTime: 12:00:04.289; Position: 3; 
TimeStamp: 2018-11-21 21:19:47.444; Lap added; EventId: 5; Driver: Steg; Laps: 22; Penalties: 0; LapTime: 12:00:05.892; Position: 2; 
TimeStamp: 2018-11-21 21:19:47.562; Lap added; EventId: 5; Driver: Bernd; Laps: 20; Penalties: 0; LapTime: 12:00:04.255; Position: 3; 
TimeStamp: 2018-11-21 21:19:47.993; Lap added; EventId: 5; Driver: Mannie; Laps: 25; Penalties: 0; LapTime: 12:00:06.027; Position: 1; 
TimeStamp: 2018-11-21 21:19:48.864; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 25; Penalties: 0; LapTime: 12:00:06.027; Position: 1; 
TimeStamp: 2018-11-21 21:19:51.806; Lap added; EventId: 5; Driver: Bernd; Laps: 21; Penalties: 0; LapTime: 12:00:04.244; Position: 3; 
TimeStamp: 2018-11-21 21:19:53.386; Lap added; EventId: 5; Driver: Steg; Laps: 23; Penalties: 0; LapTime: 12:00:05.942; Position: 2; 
TimeStamp: 2018-11-21 21:19:54.036; Lap added; EventId: 5; Driver: Mannie; Laps: 26; Penalties: 0; LapTime: 12:00:06.037; Position: 1; 
TimeStamp: 2018-11-21 21:19:56.341; Lap added; EventId: 5; Driver: Bernd; Laps: 22; Penalties: 0; LapTime: 12:00:04.534; Position: 3; 
TimeStamp: 2018-11-21 21:19:59.375; Lap added; EventId: 5; Driver: Steg; Laps: 24; Penalties: 0; LapTime: 12:00:05.988; Position: 2; 
TimeStamp: 2018-11-21 21:20:00.081; Lap added; EventId: 5; Driver: Mannie; Laps: 27; Penalties: 0; LapTime: 12:00:06.050; Position: 1; 
TimeStamp: 2018-11-21 21:20:00.681; Lap added; EventId: 5; Driver: Bernd; Laps: 23; Penalties: 0; LapTime: 12:00:04.340; Position: 3; 
TimeStamp: 2018-11-21 21:20:00.919; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 27; Penalties: 0; LapTime: 12:00:06.050; Position: 1; 
TimeStamp: 2018-11-21 21:20:05.159; Lap added; EventId: 5; Driver: Bernd; Laps: 24; Penalties: 0; LapTime: 12:00:04.477; Position: 3; 
